Domain,Company,Original_Name,PE Firm,Year,Source
fractalanalytics.com,Fractal Analytics,Fractal Analytics,Apax Partners companies,Unknown,Wikipedia
gardaworld.com,GardaWorld,GardaWorld,Apax Partners companies,Unknown,Wikipedia
geniussports.com,Genius Sports,Genius Sports,Apax Partners companies,Unknown,Wikipedia
globalblue.com,Global Blue,Global Blue,Silver Lake (investment firm) companies,Unknown,Wikipedia
hibu.com,Hibu,Hibu,Apax Partners companies,Unknown,Wikipedia
hitentertainment.com,HIT Entertainment,HIT Entertainment,Apax Partners companies,Unknown,Wikipedia
hubinternational.com,Hub International,Hub International,Apax Partners companies,Unknown,Wikipedia
incisivemedia.com,Incisive Media,Incisive Media,Apax Partners companies,Unknown,Wikipedia
infopulseukraine.com,Infopulse Ukraine,Infopulse Ukraine,Apax Partners companies,Unknown,Wikipedia
inmarsat.com,Inmarsat,Inmarsat,Warburg Pincus companies,Unknown,Wikipedia
intelsat.com,Intelsat,Intelsat,Silver Lake (investment firm) companies,Unknown,Wikipedia
levercompany.com,Lever (company),Lever (company),Apax Partners companies,Unknown,Wikipedia
matchesfashion.com,Matches Fashion,Matches Fashion,Apax Partners companies,Unknown,Wikipedia
mlnlyckehealthcare.com,Mölnlycke Health Care,Mölnlycke Health Care,Apax Partners companies,Unknown,Wikipedia
newlookcompany.com,New Look (company),New Look (company),Permira companies,Unknown,Wikipedia
nxpsemiconductors.com,NXP Semiconductors,NXP Semiconductors,Silver Lake (investment firm) companies,Unknown,Wikipedia
odido.com,Odido,Odido,Warburg Pincus companies,Unknown,Wikipedia
olesmokydistillery.com,Ole Smoky Distillery,Ole Smoky Distillery,Apax Partners companies,Unknown,Wikipedia
plexsystems.com,Plex Systems,Plex Systems,Apax Partners companies,Unknown,Wikipedia
prodrive.com,Prodrive,Prodrive,Apax Partners companies,Unknown,Wikipedia
prodrivef1.com,Prodrive F1,Prodrive F1,Apax Partners companies,Unknown,Wikipedia
rodenstockgmbh.com,Rodenstock GmbH,Rodenstock GmbH,Permira companies,Unknown,Wikipedia
rue21.com,Rue21,Rue21,Apax Partners companies,Unknown,Wikipedia
salsalabs.com,Salsa Labs,Salsa Labs,Apax Partners companies,Unknown,Wikipedia
saltmobile.com,Salt Mobile,Salt Mobile,Apax Partners companies,Unknown,Wikipedia
smarttechnologies.com,Smart Technologies,Smart Technologies,Apax Partners companies,Unknown,Wikipedia
somerfield.com,Somerfield,Somerfield,Apax Partners companies,Unknown,Wikipedia
sophos.com,Sophos,Sophos,Thoma Bravo companies,Unknown,Wikipedia
subaruworldrallyteam.com,Subaru World Rally Team,Subaru World Rally Team,Apax Partners companies,Unknown,Wikipedia
syneronmedical.com,Syneron Medical,Syneron Medical,Apax Partners companies,Unknown,Wikipedia
tdcholdingas.com,TDC Holding A/S,TDC Holding A/S,Permira companies,Unknown,Wikipedia
tdsoft.com,Tdsoft,Tdsoft,Apax Partners companies,Unknown,Wikipedia
thoughtworks.com,Thoughtworks,Thoughtworks,Apax Partners companies,Unknown,Wikipedia
tnuva.com,Tnuva,Tnuva,Apax Partners companies,Unknown,Wikipedia
tommyhilfigercompany.com,Tommy Hilfiger (company),Tommy Hilfiger (company),Apax Partners companies,Unknown,Wikipedia
trademe.com,Trade Me,Trade Me,Apax Partners companies,Unknown,Wikipedia
tradercorporation.com,Trader Corporation,Trader Corporation,Apax Partners companies,Unknown,Wikipedia
travelex.com,Travelex,Travelex,Apax Partners companies,Unknown,Wikipedia
tropolys.com,Tropolys,Tropolys,Apax Partners companies,Unknown,Wikipedia
vueling.com,Vueling,Vueling,Apax Partners companies,Unknown,Wikipedia
wgsntrendforecasting.com,WGSN (trend forecasting),WGSN (trend forecasting),Apax Partners companies,Unknown,Wikipedia
yachtworld.com,YachtWorld,YachtWorld,Permira companies,Unknown,Wikipedia
yellcompany.com,Yell (company),Yell (company),Apax Partners companies,Unknown,Wikipedia
adt.com,ADT,ADT Inc.,Apollo Global Management companies,Unknown,Wikipedia
affinion.com,Affinion,Affinion Group,Apollo Global Management companies,Unknown,Wikipedia
aleris.com,Aleris,Aleris,TPG Capital companies,Unknown,Wikipedia
atlasairworldwide.com,Atlas Air Worldwide,Atlas Air Worldwide Holdings,Apollo Global Management companies,Unknown,Wikipedia
bradcosupply.com,Bradco Supply,Bradco Supply,Apollo Global Management companies,Unknown,Wikipedia
careerbuilder.com,CareerBuilder,CareerBuilder,Apollo Global Management companies,Unknown,Wikipedia
century21realestate.com,Century 21 Real Estate,Century 21 Real Estate,Apollo Global Management companies,Unknown,Wikipedia
cevalogistics.com,CEVA Logistics,CEVA Logistics,Apollo Global Management companies,Unknown,Wikipedia
chuckecheese.com,Chuck E. Cheese,Chuck E. Cheese,Apollo Global Management companies,Unknown,Wikipedia
claires.com,Claire's,Claire's,Apollo Global Management companies,Unknown,Wikipedia
coinstar.com,Coinstar,Coinstar,Apollo Global Management companies,Unknown,Wikipedia
coldwellbanker.com,Coldwell Banker,Coldwell Banker,Apollo Global Management companies,Unknown,Wikipedia
countrywide.com,Countrywide,Countrywide,Apollo Global Management companies,Unknown,Wikipedia
coxmedia.com,Cox Media,Cox Media Group,Apollo Global Management companies,Unknown,Wikipedia
freshmarket.com,Fresh Market,The Fresh Market,Apollo Global Management companies,Unknown,Wikipedia
goodmanglobal.com,Goodman Global,Goodman Global,Apollo Global Management companies,Unknown,Wikipedia
greatcanadianentertainment.com,Great Canadian Entertainment,Great Canadian Entertainment,Apollo Global Management companies,Unknown,Wikipedia
greatwolfresorts.com,Great Wolf Resorts,Great Wolf Resorts,Apollo Global Management companies,Unknown,Wikipedia
hexion.com,Hexion,Hexion,Apollo Global Management companies,Unknown,Wikipedia
jacuzzi.com,Jacuzzi,Jacuzzi,Apollo Global Management companies,Unknown,Wikipedia
legendaryentertainment.com,Legendary Entertainment,Legendary Entertainment,Apollo Global Management companies,Unknown,Wikipedia
linensnthings.com,Linens 'n Things,Linens 'n Things,Apollo Global Management companies,Unknown,Wikipedia
